ABCB7
ABCD1
ABHD12
ACO2
ADPRS
AFG3L2
ANO10
APTX
ATCAY
ATG5
ATG7
ATM
ATP1A3
ATP2B3
ATP8A2
BEAN1
BRAT1
CA8
CACNA1A
CACNA1G
CACNB4
CAMTA1
CCDC88C
CHP1
CLCN2
CLN6
CLPP
COA7
COQ5
COQ8A
CWF19L1
CYP27A1
DNMT1
DOCK3
EBF3
EEF2
ELOVL4
ELOVL5
EP300
FAT1
FAT2
FGF14
FLVCR1
FXN
GALC
GDAP2
GOSR2
GRID2
GRM1
GRN
HEXA
HEXB
IRF2BPL
ITPKB
ITPR1
KCNA1
KCNC3
KCND3
KIF1C
KIF26B
MME
MMP8
MRE11
MSTO1
MTPAP
MYO19
NGLY1
NKX6-2
NOP56
NOVA2
NPTX1
NUBPL
OGDHL
OPA1
OTUD4
PCNA
PDHA1
PDYN
PEX10
PIGS
PIK3R5
PITRM1
PLD3
PMPCA
PNKP
PNPT1
POLG
POLR3A
POU4F1
PPP2R2B
PRDX3
PRKCG
PRKN
PUM1
RFC1
RNF170
RNF216
RNF220
RTN4IP1
RUBCN
SACS
SAMD9L
SCN2A
SCYL1
SETX
SIL1
SLC17A5
SLC1A3
SLC25A46
SLC9A1
SNX14
SOD1
SPG7
SPTBN2
STUB1
SVBP
SYNE1
SYT14
TBCE
TBP
TDP1
TDP2
TGM6
THG1L
TMEM240
TOMM70
TPP1
TSFM
TTBK2
TTPA
VAMP1
VLDLR
VPS13D
WDR73
WDR81
WFS1
WWOX
XRCC1
AARS1
ACOX1
AIFM1
ALDH18A1
ARHGAP19
ARHGEF10
ATL1
ATL3
ATP1A1
BAG3
BICD2
BSCL2
CADM3
CAPRIN1
CCT5
CD59
CFAP276
CNTNAP1
COL6A1
COL6A2
COL6A3
COQ7
COX20
COX6A1
CTDP1
DCAF8
DCTN1
DGAT2
DHTKD1
DHX9
DNAJB2
DNAJB5
DNM2
DRP2
DST
DYNC1H1
EGR2
ELP1
FBLN5
FBXO38
FDX2
FDXR
FGD4
FIG4
GAN
GARS1
GBE1
GBF1
GDAP1
GJB1
GJB3
GLA
GNB4
GRIN2C
GSN
HARS1
HINT1
HK1
HOXD10
HSPB1
HSPB3
HSPB8
IGHMBP2
INF2
ITPR3
JAG1
KARS1
KIF1A
KIF1B
KIF5A
LITAF
LMNA
LRSAM1
MARS1
MCM3AP
MED25
MFN2
MORC2
MPV17
MPZ
MTMR2
MTRFR
MYH14
MYH7
NAGLU
NDRG1
NEFH
NEFL
NEMF
NGF
NR2F1
NRCAM
NTRK1
PADI2
PCK2
PDK3
PDXK
PLEKHG5
PMP2
PMP22
POLR3B
PRDM12
PRPS1
PRX
RAB7A
REEP1
RETREG1
RTN2
SBF1
SBF2
SCN10A
SCN11A
SCN9A
SCO2
SEPTIN9
SGPL1
SH3TC2
SLC12A6
SLC5A7
SORD
SOX10
SPG11
SPTAN1
SPTBN4
SPTLC1
SPTLC2
SPTLC3
SURF1
SYT2
TEFM
TFG
TMEM126A
TRIM2
TRPA1
TRPV4
TTR
TUBB3
UBA5
UQCRC1
VCP
VWA1
WARS1
WNK1
YARS1
ZFHX2
ACTB
ADCY5
ALS2
ANO3
ATAD1
ATP13A2
BCAP31
