sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D19-0823,HPRC,T2T-CHM13,0.0055396,0.0534446,0.9944604,0.9334932,0.0534446,0.9769636,0.0065577,0.0003519
D19-0824,HPRC,T2T-CHM13,0.0054259,0.0467713,0.9945741,0.9421531,0.0467713,0.9755377,0.0071874,0.0003548
D19-0825,HPRC,T2T-CHM13,0.0052726,0.0524682,0.9947274,0.9355828,0.0524682,0.9761347,0.0069209,0.0003641
D19-1647,HPRC,T2T-CHM13,0.0051086,0.0473307,0.9948914,0.9406912,0.0473307,0.9778167,0.0061612,0.0003706
D19-1648,HPRC,T2T-CHM13,0.0057697,0.0502008,0.9942303,0.9364050,0.0502008,0.9765602,0.0063461,0.0003765
D19-1649,HPRC,T2T-CHM13,0.0051281,0.0485741,0.9948719,0.9382074,0.0485741,0.9773728,0.0063568,0.0003804
D20-0414,HPRC,T2T-CHM13,0.0053389,0.0440080,0.9946611,0.9428193,0.0440080,0.9816163,0.0033193,0.0003321
D20-0418,HPRC,T2T-CHM13,0.0051719,0.0472215,0.9948281,0.9402224,0.0472215,0.9824213,0.0030944,0.0003384
D20-0819,HPRC,T2T-CHM13,0.0055346,0.0495893,0.9944654,0.9377836,0.0495893,0.9778056,0.0061089,0.0004537
D20-1019,HPRC,T2T-CHM13,0.0053641,0.0512554,0.9946359,0.9381095,0.0512554,0.9739057,0.0073470,0.0004097
D20-1040,HPRC,T2T-CHM13,0.0057337,0.0546051,0.9942663,0.9324648,0.0546051,0.9747845,0.0068576,0.0004434
D21-0013,HPRC,T2T-CHM13,0.0050465,0.0508219,0.9949535,0.9383320,0.0508219,0.9765407,0.0064793,0.0004014
D21-0023,HPRC,T2T-CHM13,0.0056259,0.0515704,0.9943741,0.8519685,0.0515704,0.9761275,0.0064283,0.0003990
D21-0024,HPRC,T2T-CHM13,0.0049720,0.0468271,0.9950280,0.9021058,0.0468271,0.9772608,0.0063271,0.0004006
D21-0068,HPRC,T2T-CHM13,0.0057222,0.0503971,0.9942778,0.9365286,0.0503971,0.9752966,0.0070554,0.0003596
D21-0069,HPRC,T2T-CHM13,0.0048419,0.0451821,0.9951581,0.9434559,0.0451821,0.9779657,0.0064035,0.0003641
D21-0074,HPRC,T2T-CHM13,0.0053575,0.0500733,0.9946425,0.9374338,0.0500733,0.9736587,0.0045615,0.0003705
D21-0075,HPRC,T2T-CHM13,0.0058160,0.0540608,0.9941840,0.9331819,0.0540608,0.9774231,0.0027130,0.0003516
D21-0076,HPRC,T2T-CHM13,0.0053677,0.0473811,0.9946323,0.9416536,0.0473811,0.9773020,0.0031781,0.0003843
D21-0077,HPRC,T2T-CHM13,0.0049848,0.0498220,0.9950152,0.9396138,0.0498220,0.9749583,0.0041735,0.0003515
D21-0078,HPRC,T2T-CHM13,0.0056875,0.0519613,0.9943125,0.9348503,0.0519613,0.9782932,0.0027751,0.0003605
D21-0079,HPRC,T2T-CHM13,0.0053215,0.0486727,0.9946785,0.9407769,0.0486727,0.9764005,0.0036287,0.0003640
D21-0083,HPRC,T2T-CHM13,0.0050650,0.0516739,0.9949350,0.9384070,0.0516739,0.9740708,0.0073974,0.0004094
D21-0084,HPRC,T2T-CHM13,0.0052339,0.0534656,0.9947661,0.9361134,0.0534656,0.9742830,0.0071508,0.0004553
D21-0085,HPRC,T2T-CHM13,0.0052942,0.0509641,0.9947058,0.9368853,0.0509641,0.9793666,0.0053353,0.0003563
D22-0006,HPRC,T2T-CHM13,0.0051770,0.0514187,0.9948230,0.9366255,0.0514187,0.9774005,0.0062758,0.0004006
D22-0007,HPRC,T2T-CHM13,0.0040767,0.0278383,0.9959233,0.9645682,0.0278383,0.9813432,0.0058141,0.0004541
D22-0008,HPRC,T2T-CHM13,0.0050701,0.0483940,0.9949299,0.9410844,0.0483940,0.9771421,0.0063673,0.0004177
D22-0015,HPRC,T2T-CHM13,0.0055660,0.0510252,0.9944340,0.9349349,0.0510252,0.9773107,0.0060104,0.0004076
D22-0017,HPRC,T2T-CHM13,0.0054022,0.0527970,0.9945978,0.9336024,0.0527970,0.9777943,0.0056586,0.0003965
D22-0018,HPRC,T2T-CHM13,0.0052377,0.0458593,0.9947623,0.9399792,0.0458593,0.9786491,0.0056952,0.0004182
D22-0049,HPRC,T2T-CHM13,0.0050372,0.0500912,0.9949628,0.7766768,0.0500912,0.9785790,0.0055740,0.0003766
D22-0050,HPRC,T2T-CHM13,0.0052598,0.0538926,0.9947402,0.9340907,0.0538926,0.9743386,0.0072214,0.0003786
D22-0056,HPRC,T2T-CHM13,0.0053220,0.0516699,0.9946780,0.9376694,0.0516699,0.9745136,0.0071682,0.0003956
D22-0060,HPRC,T2T-CHM13,0.0048107,0.0498388,0.9951893,0.9393284,0.0498388,0.9743785,0.0075633,0.0003833
D22-0074,HPRC,T2T-CHM13,0.0049886,0.0471071,0.9950114,0.9422206,0.0471071,0.9762866,0.0067894,0.0003719
D22-0075,HPRC,T2T-CHM13,0.0055966,0.0510205,0.9944034,0.9379986,0.0510205,0.9760155,0.0066268,0.0003725
